2023-08-29T23:47:28.426      |Списание          |-5.00
2023-08-29T23:48:48.031      |Списание          |-5.27
2023-08-29T23:50:06.428      |Списание          |-5.3
2023-08-29T23:51:31.087      |Списание          |-5.27
2023-08-29T23:52:24.672      |Списание          |-5.27
2023-08-30T00:07:27.122      |Списание          |-5.27
2023-08-30T00:12:26.012      |Списание          |-33.35
2023-08-30T00:15:41.178      |Зачисление          |+5.02
2023-08-30T00:23:39.199      |Зачисление          |+5.02
2023-08-30T00:28:54.738      |Зачисление          |+5.02
2023-08-30T00:29:20.994      |Зачисление          |+5.02
2023-08-30T00:29:54.190      |Зачисление          |+5.02
2023-08-30T00:30:55.087      |Зачисление          |+5.02
2023-06-30T00:06:55.711      |Списание          |-5.27
